Date,Open,High,Low,Close,Adj Close,Volume,PnL,% Change
9/21/2015,38700,39000,38550,39000,36482.71094,513400,Profit,0.775193798
9/22/2015,38750,39000,37975,38050,35594.02344,1596000,Loss,1.806451613
9/23/2015,37800,37800,36950,36950,34565.02734,1248600,Loss,2.248677249
9/25/2015,36850,36950,35725,36250,33910.20703,1634700,Loss,1.628222524
9/28/2015,36250,36500,35525,36100,33769.89453,804900,Loss,0.413793103
9/29/2015,35750,38150,35350,38000,35547.25,2092500,Profit,6.293706294
9/30/2015,38000,38450,37500,38000,35547.25,2527800,Same,0
10/1/2015,38000,39200,38000,38800,36295.62109,1349400,Profit,2.105263158
10/2/2015,38800,38900,37800,37800,35360.16406,1223300,Loss,2.577319588
10/5/2015,38300,39375,38300,39000,36482.71094,1587900,Profit,1.82767624
10/6/2015,39500,39550,38475,39450,36903.66016,1360700,Loss,0.126582278
10/7/2015,39450,39650,38525,39000,36482.71094,2393400,Loss,1.140684411
10/8/2015,39000,39625,39000,39500,36950.43359,963000,Profit,1.282051282
10/9/2015,39950,40000,38600,39050,36529.48047,1585800,Loss,2.25281602
10/12/2015,39050,39500,39050,39400,36856.88672,1594200,Profit,0.896286812
10/13/2015,39050,39225,38500,38600,36108.52344,1793300,Loss,1.152368758
10/15/2015,38525,39325,38000,38000,35547.25,1307000,Loss,1.36275146
10/16/2015,38300,38500,37125,37575,35149.68359,2440400,Loss,1.892950392
10/19/2015,37700,38500,37700,38325,35851.27344,1317800,Profit,1.657824934
10/20/2015,38350,38900,38325,38725,36225.45703,1848500,Profit,0.977835724
10/21/2015,38700,38925,38350,38700,36202.07031,730100,Same,0
10/22/2015,38600,38700,38000,38250,35781.11719,974800,Loss,0.906735751
10/23/2015,39200,39200,38400,38425,35944.82422,1446100,Loss,1.977040816
10/26/2015,38425,38925,38425,38650,36155.29688,1369600,Profit,0.585556278
10/27/2015,38650,38800,38275,38650,36155.29688,1632700,Same,0
10/28/2015,38500,38600,38200,38200,35734.34375,1229400,Loss,0.779220779
10/29/2015,38350,38350,37150,37200,34798.88672,2306400,Loss,2.998696219
10/30/2015,37250,37500,37000,37000,34611.80078,2455900,Loss,0.67114094
11/2/2015,37000,37150,36500,36900,34518.25,1200400,Loss,0.27027027
11/3/2015,37200,37300,36800,36800,34424.70313,1168500,Loss,1.075268817
11/4/2015,37100,37200,36825,37025,34635.18359,1340700,Loss,0.202156334
11/5/2015,37025,37100,36675,36775,34401.32422,1065400,Loss,0.675219446
11/6/2015,36700,37150,36700,37000,34611.80078,768400,Profit,0.817438692
11/9/2015,36950,36950,36550,36700,34331.16406,879800,Loss,0.676589986
11/10/2015,36525,36700,35400,35400,33115.07422,1900800,Loss,3.080082136
11/11/2015,35500,36050,35100,35175,32904.59375,2408000,Loss,0.915492958
11/12/2015,35200,35700,34600,34600,32366.70898,957700,Loss,1.704545455
11/13/2015,34600,36700,34500,36300,33956.97656,1969300,Profit,4.913294798
11/16/2015,36000,36800,35450,36300,33956.97656,1236500,Profit,0.833333333
11/17/2015,36600,36850,36375,36375,34027.13672,673200,Loss,0.614754098
11/18/2015,36275,36600,36100,36525,34167.45703,598800,Profit,0.689179876
11/19/2015,36600,37025,36600,36700,34331.16406,1274500,Profit,0.273224044
11/20/2015,36700,37250,36650,37250,34845.65625,953000,Profit,1.498637602
11/23/2015,37250,37700,37150,37550,35126.30078,806400,Profit,0.805369128
11/24/2015,37550,37600,36650,36925,34541.64063,877100,Loss,1.664447403
11/25/2015,36925,37825,36925,37800,35360.16406,1788100,Profit,2.369668246
11/26/2015,37800,38200,37025,37050,34658.57031,1270900,Loss,1.984126984
11/27/2015,37050,38500,36650,38500,36014.97656,900700,Profit,3.913630229
11/30/2015,37850,38000,36750,36750,34377.9375,5142500,Loss,2.906208719
12/1/2015,37650,37825,36800,37400,34985.97656,1883400,Loss,0.664010624
12/2/2015,37000,37575,36625,36775,34718.80859,1506200,Loss,0.608108108
12/3/2015,36500,36900,36500,36750,34695.20313,878500,Profit,0.684931507
12/4/2015,36550,36875,36025,36175,34152.35156,1796100,Loss,1.025991792
12/7/2015,36050,36675,35600,35750,33751.11719,1957100,Loss,0.832177531
