time,open,high,low,close,Volume,Volume MA
2020-04-30T02:00:00Z,3400,3540,3350,3500,163170100,103467825
2020-05-04T02:00:00Z,3400,3400,3260,3320,108988600,104272575
2020-05-05T02:00:00Z,3320,3390,3320,3320,74036700,103800950
2020-05-06T02:00:00Z,3300,3340,3220,3240,86395000,102345950
2020-05-08T02:00:00Z,3270,3290,3150,3190,143584400,101203890
2020-05-11T02:00:00Z,3220,3250,3210,3220,58473100,97899850
2020-05-12T02:00:00Z,3270,3270,3100,3150,138978700,98717665
2020-05-13T02:00:00Z,3150,3170,3080,3160,73238700,100106125
2020-05-14T02:00:00Z,3110,3140,3060,3070,101581300,101229460
2020-05-15T02:00:00Z,3100,3130,3020,3100,114753900,103475555
2020-05-18T02:00:00Z,3100,3220,3100,3220,108828800,103437870
2020-05-19T02:00:00Z,3250,3330,3250,3270,97387100,101914205
2020-05-20T02:00:00Z,3200,3260,3180,3180,76086600,101853190
2020-05-26T02:00:00Z,3150,3280,3130,3250,105792900,104980865
2020-05-27T02:00:00Z,3250,3270,3150,3170,128693900,105101645
2020-05-28T02:00:00Z,3180,3210,3130,3130,177385100,108101325
2020-05-29T02:00:00Z,3100,3150,3080,3150,276092100,117702860
2020-06-02T02:00:00Z,3160,3270,3120,3250,174790600,122168620
2020-06-03T02:00:00Z,3280,3320,3230,3290,216200900,128968030
2020-06-04T02:00:00Z,3320,3390,3250,3300,167708600,129608355
2020-06-05T02:00:00Z,3360,3360,3200,3230,188420700,130870885
2020-06-08T02:00:00Z,3250,3290,3220,3230,221641600,136503535
2020-06-09T02:00:00Z,3250,3270,3140,3140,171214500,141362425
2020-06-10T02:00:00Z,3150,3190,3100,3110,263483700,150216860
2020-06-11T02:00:00Z,3120,3150,3060,3080,175767800,151826030
2020-06-12T02:00:00Z,3080,3080,2970,3030,260087300,161906740
2020-06-15T02:00:00Z,3060,3150,3030,3090,241625700,167039090
2020-06-16T02:00:00Z,3150,3220,3130,3200,194424800,173098395
2020-06-17T02:00:00Z,3210,3230,3140,3210,177784900,176908575
2020-06-18T02:00:00Z,3210,3350,3180,3280,235586600,182950210
2020-06-19T02:00:00Z,3300,3340,3250,3280,227273400,188872440
2020-06-22T02:00:00Z,3290,3300,3180,3200,159776500,191991910
2020-06-23T02:00:00Z,3200,3200,3120,3130,167271000,196551130
2020-06-24T02:00:00Z,3150,3230,3140,3180,170895600,199806265
2020-06-25T02:00:00Z,3160,3220,3140,3160,100882600,198415700
